roomid,实际房间
1683,4-1116
1684,4-1117
1685,4-1118
1686,4-1119
1687,4-1120
1688,4-1121
1689,4-1122
1690,4-1123
1691,4-1125
1692,4-1127
1693,4-1129
1694,4-1131
1695,4-1133
1696,4-1135
1697,4-1136
1698,4-1138
1700,4-1201
1701,4-1202
1702,4-1203
1703,4-1204
1704,4-1205
1705,4-1206
1706,4-1207
1707,4-1209
1708,4-1211
1709,4-1213
1710,4-1214
1711,4-1215
1712,4-1216
1713,4-1217
1714,4-1218
1715,4-1219
1716,4-1220
1717,4-1221
1718,4-1222
1719,4-1223
1720,4-1225
1721,4-1227
1722,4-1229
1723,4-1231
1724,4-1233
1725,4-1235
1726,4-1236
1727,4-1238
1729,4-1301
1730,4-1302
1731,4-1303
1732,4-1304
1733,4-1305
1734,4-1306
1735,4-1307
1736,4-1309
1737,4-1311
1738,4-1313
1739,4-1314
1740,4-1315
1741,4-1316
1742,4-1317
1743,4-1318
1744,4-1319
1745,4-1320
1746,4-1321
1747,4-1322
1748,4-1323
1749,4-1325
1750,4-1327
1751,4-1329
1752,4-1331
1753,4-1333
1754,4-1335
1755,4-1336
1756,4-1338
1758,4-1401
1759,4-1402
1760,4-1403
1761,4-1404
1762,4-1405
1763,4-1406
1764,4-1407
1765,4-1409
1766,4-1411
1767,4-1413
1768,4-1414
1769,4-1415
1770,4-1416
1771,4-1417
1772,4-1418
1773,4-1419
1774,4-1420
1775,4-1421
1776,4-1422
1777,4-1423
1778,4-1425
1779,4-1427
1780,4-1429
1781,4-1431
1782,4-1433
1783,4-1435
1784,4-1436
1785,4-1438
1787,4-1501
1788,4-1502
1789,4-1503
1790,4-1504
1791,4-1505
1792,4-1506
1793,4-1507
1794,4-1509
1795,4-1511
1796,4-1513
1797,4-1514
1798,4-1515
1799,4-1516
1800,4-1517
1801,4-1518
1802,4-1519
1803,4-1520
1804,4-1521
1805,4-1522
1806,4-1523
1807,4-1525
1808,4-1527
1809,4-1529
1810,4-1531
1811,4-1533
1812,4-1535
1813,4-1536
1814,4-1538
1816,4-1601
1817,4-1602
1818,4-1603
1819,4-1604
1820,4-1605
1821,4-1606
1822,4-1607
1823,4-1609
1824,4-1611
1825,4-1613
1826,4-1614
1827,4-1615
1828,4-1616
1829,4-1617
1830,4-1618
1831,4-1619
1832,4-1620
1833,4-1621
1834,4-1622
1835,4-1623
1836,4-1625
1837,4-1627
1838,4-1629
1839,4-1631
1840,4-1633
1841,4-1635
1842,4-1636
1843,4-1638
