roomid,实际房间
2048,5-816
2049,5-817
2050,5-818
2051,5-819
2052,5-820
2053,5-821
2054,5-822
2055,5-823
2056,5-825
2057,5-827
2058,5-829
2059,5-831
2060,5-833
2061,5-835
2062,5-836
2063,5-838
2065,5-901
2066,5-902
2067,5-903
2068,5-904
2069,5-905
2070,5-906
2071,5-907
2072,5-909
2073,5-911
2074,5-913
2075,5-914
2076,5-915
2077,5-916
2078,5-917
2079,5-918
2080,5-919
2081,5-920
2082,5-921
2083,5-922
2084,5-923
2085,5-925
2086,5-927
2087,5-929
2088,5-931
2089,5-933
2090,5-935
2091,5-936
2092,5-938
2094,5-1001
2095,5-1002
2096,5-1003
2097,5-1004
2098,5-1005
2099,5-1006
2100,5-1007
2101,5-1009
2102,5-1011
2103,5-1013
2104,5-1014
2105,5-1015
2106,5-1016
2107,5-1017
2108,5-1018
2109,5-1019
2110,5-1020
2111,5-1021
2112,5-1022
2113,5-1023
2114,5-1025
2115,5-1027
2116,5-1029
2117,5-1031
2118,5-1033
2119,5-1035
2120,5-1036
2121,5-1038
2123,5-1101
2124,5-1102
2125,5-1103
2126,5-1104
2127,5-1105
2128,5-1106
2129,5-1107
2130,5-1109
2131,5-1111
2132,5-1113
2133,5-1114
2134,5-1115
2135,5-1116
2136,5-1117
2137,5-1118
2138,5-1119
2139,5-1120
2140,5-1121
2141,5-1122
2142,5-1123
2143,5-1125
2144,5-1127
2145,5-1129
2146,5-1131
2147,5-1133
2148,5-1135
2149,5-1136
2150,5-1138
2152,5-1201
2153,5-1202
2154,5-1203
2155,5-1204
2156,5-1205
2157,5-1206
2158,5-1207
2159,5-1209
2160,5-1211
2161,5-1213
2162,5-1214
2163,5-1215
2164,5-1216
2165,5-1217
2166,5-1218
2167,5-1219
2168,5-1220
2169,5-1221
2170,5-1222
2171,5-1223
2172,5-1225
2173,5-1227
2174,5-1229
2175,5-1231
2176,5-1233
2177,5-1235
2178,5-1236
2179,5-1238
2181,5-1301
2182,5-1302
2183,5-1303
2184,5-1304
2185,5-1305
2186,5-1306
2187,5-1307
2188,5-1309
2189,5-1311
2190,5-1313
2191,5-1314
2192,5-1315
2193,5-1316
2194,5-1317
2195,5-1318
2196,5-1319
2197,5-1320
2198,5-1321
2199,5-1322
2200,5-1323
2201,5-1325
2202,5-1327
2203,5-1329
2204,5-1331
2205,5-1333
2206,5-1335
2207,5-1336
2208,5-1338
2210,5-1401
2211,5-1402
2212,5-1403
2213,5-1404
2214,5-1405
2215,5-1406
2216,5-1407
2217,5-1409
2218,5-1411
2219,5-1413
2220,5-1414
2221,5-1415
2222,5-1416
2223,5-1417
2224,5-1418
2225,5-1419
2226,5-1420
2227,5-1421
2228,5-1422
2229,5-1423
2230,5-1425
2231,5-1427
2232,5-1429
2233,5-1431
2234,5-1433
2235,5-1435
2236,5-1436
2237,5-1438
2239,5-1501
2240,5-1502
2241,5-1503
2242,5-1504
2243,5-1505
2244,5-1506
2245,5-1507
2246,5-1509
2247,5-1511
2248,5-1513
2249,5-1514
2250,5-1515
2251,5-1516
2252,5-1517
2253,5-1518
2254,5-1519
2255,5-1520
2256,5-1521
2257,5-1522
2258,5-1523
2259,5-1525
2260,5-1527
2261,5-1529
2262,5-1531
2263,5-1533
2264,5-1535
2265,5-1536
2266,5-1538
2268,5-1601
2269,5-1602
2270,5-1603
2271,5-1604
2272,5-1605
2273,5-1606
2274,5-1607
2275,5-1609
2276,5-1611
2277,5-1613
2278,5-1614
2279,5-1615
2280,5-1616
2281,5-1617
2282,5-1618
2283,5-1619
2284,5-1620
2285,5-1621
2286,5-1622
2287,5-1623
2288,5-1625
2289,5-1627
2290,5-1629
2291,5-1631
2292,5-1633
2293,5-1635
2294,5-1636
2295,5-1638
